Country Name,Lon,Lat,Value
Tonga,-175.198242,-21.178986,15.42
Trinidad and Tobago,-61.222503,10.691803,10.97
Tunisia,9.537499,33.886917,8.52
Turkey,35.243322,38.963745,12.13
Turkmenistan,59.556278,38.969719,7.11
Tuvalu,177.64933,-7.109535,27.25
Uganda,32.290275,1.373333,2.5
Ukraine,31.16558,48.379433,7.11
United Arab Emirates,53.847818,23.424076,17.26
United Kingdom,-3.435973,55.378051,4.28
United States,-95.712891,37.09024,10.79
Uruguay,-55.765835,-32.522779,6.93
Uzbekistan,64.585262,41.377491,7.57
Vanuatu,166.959158,-15.376706,12.02
Vietnam,108.277199,14.058324,6
Zambia,27.849332,-13.133897,3.94
Zimbabwe,29.154857,-19.015438,1.82
